id,title,cases_description,created_at,updated_at,status_id,alert_id,team_id,staff_id,cases_action,user_id,event_date,rating_id,exception_process_id,response_note,responses
656,"WRONG CHARGES TAKEN","Check Audit",,"17-APR-23 03.57.27.023904000 PM",1,639,,4833,"Please review and ensure compliance",43,"17-APR-23 12.00.00.000000000 AM",1,17048,,
715,"CHEQUE PAID BUT NOT CONFIRMED.","Please treat","2023-10-04 22:00:32.960947+00 09.00.17.176950000 AM","2023-10-04 22:00:32.960947+00 09.00.17.176950000 AM",2,698,101,4833,"Please review and ensure compliance",43,"2023-10-04 22:00:32.960947+00",2,17034,,
717,"WRONG CHARGES TAKEN","Please treat","2023-10-04 22:00:32.960947+00 09.40.50.953121000 AM","2023-10-04 22:00:32.960947+00 09.40.50.953121000 AM",1,700,101,4836,"Please review and ensure compliance",43,"2023-10-04 22:00:32.960947+00 ",2,17048,,
756,"WRONG CHARGES TAKEN","To be checked","2023-10-04 22:00:32.960947+00 11.33.28.586653000 PM","2023-10-04 22:00:32.960947+00 11.33.28.586653000 PM",1,739,60,4833,"Please review and ensure compliance",43,"2023-10-04 22:00:32.960947+00",1,17048,,
775,"DUPLICATE TRANSACTION","Check compliance","19-APR-23 12.38.33.241198000 PM","19-APR-23 12.38.33.241198000 PM",2,760,44,4833,"Please review and ensure compliance on process",43,"19-APR-23 12.00.00.000000000 AM",2,17494,,
816,"ATM ISSUED TO WRONG CUSTOMER WITH SAME NAME","Both appeared to have requested for ATM card within two week","20-APR-23 09.11.08.928385000 AM","20-APR-23 09.11.08.928385000 AM",2,802,67,4833,"Please review and resolved",43,"19-APR-23 12.00.00.000000000 AM",2,18093,,
835,"AMOUNT MISMATCH","Please treat","22-APR-23 09.43.39.283742000 AM","22-APR-23 09.43.39.283742000 AM",2,878,,4836,"Please review and ensure compliance",81,"22-APR-23 12.00.00.000000000 AM",1,17146,,
915,"CONFIRMATION PROCESS NOT SATISFACTORY","Ensure all documents are completed","25-APR-23 08.29.10.076581000 PM","25-APR-23 08.29.10.076581000 PM",2,1018,44,4833,"Please review and ensure compliance",43,"23-APR-23 12.00.00.000000000 AM",2,19267,,
968,"WRONG CHARGES TAKEN","Pleae respond","26-APR-23 12.39.07.169404000 PM","26-APR-23 12.39.07.169404000 PM",2,1079,101,4833,"Please review and ensure compliance",43,"26-APR-23 12.00.00.000000000 AM",1,17048,,
977,"NO HOP/CASH OFFICER APPROVAL FOR PAYMENT ABOVE TELLER LIMIT","check for mail","28-APR-23 09.46.20.645992000 AM","28-APR-23 09.46.20.645992000 AM",1,1120,101,5509,"Please review and ensure compliance",43,"28-APR-23 12.00.00.000000000 AM",1,17246,,
1056,"WRONG/NO FILING",case,"20-JUL-23 07.48.02.783688000 AM","20-JUL-23 07.48.02.783688000 AM",1,1679,,5509,"Please review and ensure compliance",11,"20-JUL-23 12.00.00.000000000 AM",1,17147,,
1059,"SETTLEMENT INCONSISTENT","confirm recipient mail","20-JUL-23 07.57.46.130356000 AM","20-JUL-23 07.57.46.130356000 AM",1,1682,43,5509,"Please review and ensure compliance",11,"14-JUL-23 12.00.00.000000000 AM",2,17496,,
1075,"INCOMPLETE TRANSACTION","Transaction Details:&nbsp,

Process :Multiple Bill Payment transactions same day - ALERT2023220502000767837&nbsp,

Event Date :22-MAY-2023 02:00AM&nbsp,

Narration : Multiple Bill Payment transactions same day","23-JUL-23 02.24.41.907344000 PM","23-JUL-23 02.24.41.907344000 PM",2,1698,44,5509,"Please review and revert",43,"23-JUL-23 12.00.00.000000000 AM",2,17248,,
1155,"AMOUNT MISMATCH",,"29-AUG-23 08.28.25.909894000 AM","29-AUG-23 08.28.25.909894000 AM",1,1778,48,5509,"please treat as very urgent",43,"28-AUG-23 12.00.00.000000000 AM",1,17378,,
